type	LP	IPop	PPPGDP	LP_rank	LP_perc_Asia(Not)	LP_perc_World	IPop_rank	IPop_perc_Asia(Not)	IPop_perc_World	PPPGDP_rank	PPPGDP_perc_Asia(Not)	PPPGDP_perc_World	Language
en	641.5770	468.8890	25773.7042	1.0000	40.8497	9.1356	1.0000	56.9893	17.5032	1.0000	67.0014	25.2847	English
es	133.6131	72.3973	3530.4612	2.0000	8.5072	1.9025	2.0000	8.7993	2.7025	2.0000	9.1778	3.4635	Spanish
arz	53.5680	26.5483	582.2688	3.0000	3.4107	0.7628	3.0000	3.2267	0.9910	4.0000	1.5137	0.5712	Egyptian Arabic
fr	27.2935	19.6338	905.3355	11.0000	1.7378	0.3886	4.0000	2.3863	0.7329	3.0000	2.3535	0.8882	French
ary	28.5821	16.0060	210.2590	9.0000	1.8198	0.4070	5.0000	1.9454	0.5975	13.0000	0.5466	0.2063	Moroccan Arabic
ru	28.0385	14.5890	467.8661	10.0000	1.7852	0.3992	6.0000	1.7732	0.5446	5.0000	1.2163	0.4590	Russian
pcm	35.5492	13.5087	204.2557	5.0000	2.2634	0.5062	7.0000	1.6419	0.5043	14.0000	0.5310	0.2004	Nigerian Pidgin
ha_Latn	29.0355	8.5056	134.0397	7.0000	1.8487	0.4134	8.0000	1.0338	0.3175	18.0000	0.3485	0.1315	Hausa (Latin)
ig	22.0067	8.3625	126.4440	12.0000	1.4012	0.3134	9.0000	1.0164	0.3122	19.0000	0.3287	0.1240	Igbo
nds	9.8304	8.2672	427.7735	17.0000	0.6259	0.1400	10.0000	1.0048	0.3086	7.0000	1.1120	0.4197	Low German
it	9.8125	8.0463	414.1870	18.0000	0.6248	0.1397	11.0000	0.9780	0.3004	8.0000	1.0767	0.4063	Italian
bar	8.0598	6.4977	357.8850	23.0000	0.5132	0.1148	12.0000	0.7897	0.2426	9.0000	0.9304	0.3511	Bavarian
zu	13.1152	6.2528	160.3789	13.0000	0.8351	0.1868	13.0000	0.7600	0.2334	16.0000	0.4169	0.1573	Zulu
nl	7.3548	6.1735	319.4433	27.0000	0.4683	0.1047	14.0000	0.7503	0.2305	10.0000	0.8304	0.3134	Dutch
ca	8.0528	5.7720	258.1154	24.0000	0.5127	0.1147	15.0000	0.7015	0.2155	11.0000	0.6710	0.2532	Catalan
arq	31.4570	5.1904	433.7281	6.0000	2.0029	0.4479	16.0000	0.6308	0.1938	6.0000	1.1275	0.4255	Algerian Arabic
xh	9.5557	4.6644	119.3238	20.0000	0.6084	0.1361	17.0000	0.5669	0.1741	20.0000	0.3102	0.1171	Xhosa
fuv	11.3419	4.3099	65.1673	14.0000	0.7221	0.1615	18.0000	0.5238	0.1609	29.0000	0.1694	0.0639	Nigerian Fulfulde
aeb	9.7983	4.2917	107.7606	19.0000	0.6239	0.1395	19.0000	0.5216	0.1602	22.0000	0.2801	0.1057	Tunisian Arabic
vmf	4.8480	4.0704	210.7656	40.0000	0.3087	0.0690	20.0000	0.4947	0.1519	12.0000	0.5479	0.2068	Main-Franconian
zgh	7.2277	4.0475	53.1689	28.0000	0.4602	0.1029	21.0000	0.4919	0.1511	34.0000	0.1382	0.0522	Standard Moroccan Tamazight
de	5.4356	3.6272	177.5718	36.0000	0.3461	0.0774	22.0000	0.4409	0.1354	15.0000	0.4616	0.1742	German
af	8.5240	3.5956	102.9130	22.0000	0.5427	0.1214	23.0000	0.4370	0.1342	24.0000	0.2675	0.1010	Afrikaans
ki	7.1060	2.7713	21.3809	29.0000	0.4524	0.1012	24.0000	0.3368	0.1034	67.0000	0.0556	0.0210	Kikuyu
zh_Hant	3.0317	2.5607	150.5608	59.0000	0.1930	0.0432	25.0000	0.3112	0.0956	17.0000	0.3914	0.1477	Chinese (Traditional)
tr	3.4414	2.5253	116.7131	50.0000	0.2191	0.0490	26.0000	0.3069	0.0943	21.0000	0.3034	0.1145	Turkish
nso	4.9803	2.4354	62.2863	39.0000	0.3171	0.0709	27.0000	0.2960	0.0909	31.0000	0.1619	0.0611	Northern Sotho
gl	3.2774	2.3443	104.5916	54.0000	0.2087	0.0467	28.0000	0.2849	0.0875	23.0000	0.2719	0.1026	Galician
tn	4.3795	2.1306	54.4535	45.0000	0.2788	0.0624	29.0000	0.2590	0.0795	33.0000	0.1416	0.0534	Tswana
wo	9.8979	2.0671	22.2112	16.0000	0.6302	0.1409	30.0000	0.2512	0.0772	66.0000	0.0577	0.0218	Wolof
st	4.1856	2.0467	52.3470	46.0000	0.2665	0.0596	31.0000	0.2488	0.0764	35.0000	0.1361	0.0514	Southern Sotho
luy	4.5980	1.7932	13.8347	42.0000	0.2928	0.0655	32.0000	0.2179	0.0669	89.0000	0.0360	0.0136	Luyia
shi_Tfng	2.8582	1.6006	21.0259	61.5000	0.1820	0.0407	33.5000	0.1945	0.0597	70.5000	0.0547	0.0206	Tachelhit (Tifinagh)
shi_Latn	2.8582	1.6006	21.0259	61.5000	0.1820	0.0407	33.5000	0.1945	0.0597	70.5000	0.0547	0.0206	Tachelhit (Latin)
luo	4.0964	1.5976	12.3255	47.0000	0.2608	0.0583	35.0000	0.1942	0.0596	99.0000	0.0320	0.0121	Luo
oc	1.9098	1.5645	76.0353	80.0000	0.1216	0.0272	36.0000	0.1902	0.0584	25.0000	0.1977	0.0746	Occitan
sco	1.7303	1.5546	62.6519	88.0000	0.1102	0.0246	37.0000	0.1889	0.0580	30.0000	0.1629	0.0615	Scots
hu	2.5460	1.4363	47.3894	70.0000	0.1621	0.0363	38.0000	0.1746	0.0536	39.0000	0.1232	0.0465	Hungarian
da	1.6183	1.3590	70.3489	91.0000	0.1030	0.0230	39.0000	0.1652	0.0507	28.0000	0.1829	0.0690	Danish
gsw	1.5397	1.3072	74.8992	96.0000	0.0980	0.0219	40.0000	0.1589	0.0488	26.0000	0.1947	0.0735	Swiss German
ts	4.3907	1.2548	31.4313	44.0000	0.2796	0.0625	41.0000	0.1525	0.0468	53.0000	0.0817	0.0308	Tsonga
kln	3.1768	1.2390	9.5585	55.5000	0.2023	0.0452	42.5000	0.1506	0.0463	121.5000	0.0248	0.0094	Kalenjin
kam	3.1768	1.2390	9.5585	55.5000	0.2023	0.0452	42.5000	0.1506	0.0463	121.5000	0.0248	0.0094	Kamba
tt	2.0118	1.2352	48.8827	76.0000	0.1281	0.0286	44.0000	0.1501	0.0461	37.0000	0.1271	0.0480	Tatar
ak	9.9696	1.2263	40.1630	15.0000	0.6348	0.1420	45.0000	0.1490	0.0458	47.0000	0.1044	0.0394	Akan
umb	6.0378	1.1532	48.1704	34.0000	0.3844	0.0860	46.0000	0.1402	0.0430	38.0000	0.1252	0.0473	Umbundu
cv	1.8681	1.1470	45.3911	81.5000	0.1189	0.0266	47.5000	0.1394	0.0428	41.5000	0.1180	0.0445	Chuvash
ba	1.8681	1.1470	45.3911	81.5000	0.1189	0.0266	47.5000	0.1394	0.0428	41.5000	0.1180	0.0445	Bashkir
fil	1.3288	1.1188	70.4258	106.0000	0.0846	0.0189	49.0000	0.1360	0.0418	27.0000	0.1831	0.0691	Filipino
rif_Latn	1.8114	1.0909	21.2056	84.0000	0.1153	0.0258	50.0000	0.1326	0.0407	68.0000	0.0551	0.0208	Riffian (Latin)
sq	1.9450	1.0555	24.5469	79.0000	0.1238	0.0277	51.0000	0.1283	0.0394	60.0000	0.0638	0.0241	Albanian
tiv	2.7085	1.0292	15.5623	64.0000	0.1725	0.0386	52.0000	0.1251	0.0384	83.0000	0.0405	0.0153	Tiv
jam	2.6448	0.9997	22.4456	66.0000	0.1684	0.0377	53.0000	0.1215	0.0373	64.0000	0.0583	0.0220	Jamaican Creole English
kmb	5.2050	0.9942	41.5262	38.0000	0.3314	0.0741	54.0000	0.1208	0.0371	44.0000	0.1080	0.0407	Kimbundu
vls	1.1162	0.9172	45.4954	119.0000	0.0711	0.0159	55.0000	0.1115	0.0342	40.0000	0.1183	0.0446	West Flemish
vi	1.0757	0.9057	57.0114	122.0000	0.0685	0.0153	56.0000	0.1101	0.0338	32.0000	0.1482	0.0559	Vietnamese
rif_Tfng	1.6098	0.9015	11.8422	92.0000	0.1025	0.0229	57.0000	0.1096	0.0337	103.0000	0.0308	0.0116	Riffian (Tifinagh)
efi	2.3699	0.9006	13.6170	71.5000	0.1509	0.0337	58.5000	0.1095	0.0336	92.5000	0.0354	0.0134	Efik
ibb	2.3699	0.9006	13.6170	71.5000	0.1509	0.0337	58.5000	0.1095	0.0336	92.5000	0.0354	0.0134	Ibibio
li	0.9241	0.8683	42.9157	134.0000	0.0588	0.0132	60.0000	0.1055	0.0324	43.0000	0.1116	0.0421	Limburgish
sw	38.5117	0.8480	25.2582	4.0000	2.4521	0.5484	61.0000	0.1031	0.0317	59.0000	0.0657	0.0248	Swahili
ko	0.9913	0.8210	50.9368	131.0000	0.0631	0.0141	62.0000	0.0998	0.0306	36.0000	0.1324	0.0500	Korean
guz	2.0482	0.7988	6.1627	75.0000	0.1304	0.0292	63.0000	0.0971	0.0298	147.0000	0.0160	0.0060	Gusii
lg	4.7871	0.7755	8.0458	41.0000	0.3048	0.0682	64.0000	0.0943	0.0289	129.0000	0.0209	0.0079	Ganda
ha_Arab	2.2049	0.7546	11.9463	74.0000	0.1404	0.0314	65.0000	0.0917	0.0282	102.0000	0.0311	0.0117	Hausa (Arabic)
hy	1.2071	0.7411	29.3296	111.0000	0.0769	0.0172	66.0000	0.0901	0.0277	54.0000	0.0762	0.0288	Armenian
eu	1.0150	0.7350	33.0707	126.0000	0.0646	0.0145	67.0000	0.0893	0.0274	51.0000	0.0860	0.0324	Basque
pl	1.4279	0.7307	22.4039	101.0000	0.0909	0.0203	68.0000	0.0888	0.0273	65.0000	0.0582	0.0220	Polish
ff	6.8624	0.7300	13.4154	31.0000	0.4369	0.0977	69.0000	0.0887	0.0273	94.0000	0.0349	0.0132	Fulah
ss	1.4762	0.7018	18.0172	98.0000	0.0940	0.0210	70.0000	0.0853	0.0262	78.0000	0.0468	0.0177	Swati
bem	4.5071	0.6941	17.6932	43.0000	0.2870	0.0642	71.0000	0.0844	0.0259	79.0000	0.0460	0.0174	Bemba
pt	0.8292	0.6790	32.9832	143.0000	0.0528	0.0118	72.0000	0.0825	0.0253	52.0000	0.0857	0.0324	Portuguese
fy	0.7225	0.6788	33.5523	152.0000	0.0460	0.0103	73.0000	0.0825	0.0253	50.0000	0.0872	0.0329	Western Frisian
hr	0.8421	0.6775	33.9566	142.0000	0.0536	0.0120	74.0000	0.0823	0.0253	49.0000	0.0883	0.0333	Croatian
hi	1.4494	0.6624	16.2948	99.0000	0.0923	0.0206	75.0000	0.0805	0.0247	82.0000	0.0424	0.0160	Hindi
mer	1.6720	0.6521	5.0308	89.0000	0.1065	0.0238	76.0000	0.0793	0.0243	155.0000	0.0131	0.0049	Meru
om	28.6285	0.6168	41.1505	8.0000	1.8228	0.4076	77.0000	0.0750	0.0230	45.0000	0.1070	0.0404	Oromo
ve	1.3025	0.6114	15.4044	107.0000	0.0829	0.0185	78.0000	0.0743	0.0228	85.0000	0.0400	0.0151	Venda
sc	1.0146	0.5932	34.6025	127.0000	0.0646	0.0144	79.0000	0.0721	0.0221	48.0000	0.0900	0.0339	Sardinian
ce	0.9484	0.5823	23.0447	133.0000	0.0604	0.0135	80.0000	0.0708	0.0217	63.0000	0.0599	0.0226	Chechen
pcd	0.7003	0.5737	27.8796	154.0000	0.0446	0.0100	81.0000	0.0697	0.0214	56.0000	0.0725	0.0274	Picard
gos	0.6049	0.5683	28.0903	166.0000	0.0385	0.0086	82.0000	0.0691	0.0212	55.0000	0.0730	0.0276	Gronings
wa	0.6474	0.5320	26.3873	161.0000	0.0412	0.0092	83.0000	0.0647	0.0199	58.0000	0.0686	0.0259	Walloon
el	0.6612	0.5279	23.1999	159.0000	0.0421	0.0094	84.0000	0.0642	0.0197	61.0000	0.0603	0.0228	Greek
kab	2.9562	0.4878	40.7600	60.0000	0.1882	0.0421	85.0000	0.0593	0.0182	46.0000	0.1060	0.0400	Kabyle
cy	0.5209	0.4598	18.4798	180.0000	0.0332	0.0074	86.0000	0.0559	0.0172	75.0000	0.0480	0.0181	Welsh
pa_Guru	0.5155	0.4585	18.3592	181.0000	0.0328	0.0073	87.0000	0.0557	0.0171	77.0000	0.0477	0.0180	Punjabi (Gurmukhi)
mfe	1.1718	0.4570	20.0655	114.0000	0.0746	0.0167	88.0000	0.0555	0.0171	72.0000	0.0522	0.0197	Morisyen
bin	1.2019	0.4567	6.9058	112.0000	0.0765	0.0171	89.0000	0.0555	0.0170	141.0000	0.0180	0.0068	Bini
vec	0.7759	0.4536	26.4607	148.0000	0.0494	0.0110	90.0000	0.0551	0.0169	57.0000	0.0688	0.0260	Venetian
ku_Latn	0.5333	0.4477	23.1842	177.0000	0.0340	0.0076	91.0000	0.0544	0.0167	62.0000	0.0603	0.0227	Kurdish (Latin)
ast	0.6059	0.4337	19.3543	165.0000	0.0386	0.0086	92.0000	0.0527	0.0162	74.0000	0.0503	0.0190	Asturian
br	0.5284	0.4328	21.0364	179.0000	0.0336	0.0075	93.0000	0.0526	0.0162	69.0000	0.0547	0.0206	Breton
yi	0.7950	0.4217	15.2688	144.0000	0.0506	0.0113	94.0000	0.0513	0.0157	86.0000	0.0397	0.0150	Yiddish
ny	3.1017	0.4183	9.7505	58.0000	0.1975	0.0442	95.0000	0.0508	0.0156	119.0000	0.0253	0.0096	Nyanja
uk	0.7514	0.4177	8.5589	151.0000	0.0478	0.0107	96.0000	0.0508	0.0156	125.0000	0.0222	0.0084	Ukrainian
nr	0.8477	0.4145	10.6019	140.0000	0.0540	0.0121	97.0000	0.0504	0.0155	114.0000	0.0276	0.0104	South Ndebele
ee	3.9710	0.3981	12.9394	49.0000	0.2528	0.0565	98.0000	0.0484	0.0149	97.0000	0.0336	0.0127	Ewe
bn	0.4294	0.3858	15.5469	196.0000	0.0273	0.0061	99.0000	0.0469	0.0144	84.0000	0.0404	0.0153	Bengali
nyn	2.3199	0.3758	3.8991	73.0000	0.1477	0.0330	100.0000	0.0457	0.0140	170.0000	0.0101	0.0038	Nyankole
qug	0.8992	0.3629	9.8080	135.0000	0.0573	0.0128	101.0000	0.0441	0.0135	118.0000	0.0255	0.0096	Chimborazo Highland Quichua
teo	1.7454	0.3533	3.3444	87.0000	0.1111	0.0249	102.0000	0.0429	0.0132	178.0000	0.0087	0.0033	Teso
so	6.2491	0.3488	10.3321	33.0000	0.3979	0.0890	103.0000	0.0424	0.0130	116.0000	0.0269	0.0101	Somali
yua	0.7933	0.3448	13.7946	145.0000	0.0505	0.0113	104.0000	0.0419	0.0129	90.0000	0.0359	0.0135	Yucateco
av	0.5604	0.3441	13.6173	171.0000	0.0357	0.0080	105.0000	0.0418	0.0128	91.0000	0.0354	0.0134	Avaric
nap	0.5789	0.3384	19.7438	169.0000	0.0369	0.0082	106.0000	0.0411	0.0126	73.0000	0.0513	0.0194	Neapolitan
udm	0.5461	0.3353	13.2682	174.0000	0.0348	0.0078	107.0000	0.0408	0.0125	95.0000	0.0345	0.0130	Udmurt
chm	0.5317	0.3265	12.9190	178.0000	0.0339	0.0076	108.0000	0.0397	0.0122	98.0000	0.0336	0.0127	Mari
srr	1.5537	0.3247	3.4851	95.0000	0.0989	0.0221	109.0000	0.0395	0.0121	174.0000	0.0091	0.0034	Serer
cgg	1.9885	0.3221	3.3421	77.0000	0.1266	0.0283	110.0000	0.0391	0.0120	179.0000	0.0087	0.0033	Chiga
xog	1.9517	0.3162	3.2802	78.0000	0.1243	0.0278	111.0000	0.0384	0.0118	182.0000	0.0085	0.0032	Soga
szl	0.5009	0.3148	11.6581	183.0000	0.0319	0.0071	112.0000	0.0383	0.0118	105.0000	0.0303	0.0114	Silesian
lij	0.5133	0.3001	17.5048	182.0000	0.0327	0.0073	113.0000	0.0365	0.0112	80.0000	0.0455	0.0172	Ligurian
mos	6.7748	0.2981	11.0952	32.0000	0.4314	0.0965	114.0000	0.0362	0.0111	110.0000	0.0288	0.0109	Mossi
be	0.6001	0.2979	8.4591	167.0000	0.0382	0.0085	115.0000	0.0362	0.0111	126.0000	0.0220	0.0083	Belarusian
co	0.3629	0.2973	14.4467	205.0000	0.0231	0.0052	116.0000	0.0361	0.0111	87.0000	0.0376	0.0142	Corsican
lmo	0.3472	0.2957	18.3617	209.0000	0.0221	0.0049	117.0000	0.0359	0.0110	76.0000	0.0477	0.0180	Lombard
syl	0.3268	0.2936	11.8342	215.0000	0.0208	0.0047	118.0000	0.0357	0.0110	104.0000	0.0308	0.0116	Sylheti
